Stage Basic,Value,,Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盤面,,,盤面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
広さ,29,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,,,,
高さ,13,,1,W,W,N,N,W,N,N,N,N,N,N,CBW,N,N,CBW,N,N,W,W,W,N,N,N,N,W,W,W,W,W,,,,,,,,,,,,
,,,2,W,N,N,N,W,N,N,N,N,N,N,CBW,N,N,CBW,N,N,N,N,N,N,N,N,N,N,N,N,N,W,,,,,,,,,,,,
オブジェクト,Code,,3,W,N,N,N,W,CBW,CBW,CBW,N,N,N,CBW,N,N,CBW,N,B,N,N,N,N,N,N,N,B,N,N,N,W,,,,,,,,,,,,
普通のブロック,N,,4,N,N,N,N,W,CBW,N,N,N,N,N,CBW,N,N,CBW,N,CBW,CBW,CBW,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,
ボム,B,,5,B,N,N,N,N,CBW,N,N,B,N,N,CBW,N,N,CBW,N,CBW,N,N,N,CBW,N,N,N,N,N,N,N,N,,,,,,,,,,,,
壁,W,,6,N,N,N,N,N,CBW,N,N,N,N,N,CBW,N,N,CBW,CBW,WB,N,N,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,,,,,,,,,,,,
壁ボム,WB,,7,N,N,N,N,WB,CBW,N,N,WB,CBW,CBW,CBW,B,N,N,W,N,N,N,N,N,N,CBW,N,N,N,N,N,N,,,,,,,,,,,,
壁ボム-壁,CBW,,8,N,W,N,W,N,N,N,N,N,N,N,N,N,N,W,W,N,N,N,N,B,N,CBW,CBW,WB,N,N,N,W,,,,,,,,,,,,
,,,9,CBW,CBW,CBW,CBW,N,N,N,N,N,W,N,N,N,W,W,N,N,N,N,N,N,N,N,N,N,N,N,N,W,,,,,,,,,,,,
BPM,135,,10,N,W,N,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,W,N,N,N,N,N,N,N,N,N,N,N,N,N,W,,,,,,,,,,,,
音の名前,stage1_bgm,,11,N,N,N,N,N,N,N,N,N,N,N,N,N,CBW,CBW,CBW,CBW,CBW,CBW,CBW,WB,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,,,,,,,,,,,,
,,,12,N,N,,,,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,
弾のCD（秒）,0.1,,13,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弾の数,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爆風の爆発と壁ボム爆発の速度,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（＝（60/BPM）*　1/Ｎ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
