Stage Basic,Value,,Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盤面,,,盤面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
広さ,29,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,,,,
高さ,13,,1,N,N,N,N,N,W,N,N,N,N,N,N,N,W,N,N,N,N,N,CBW,N,N,N,N,W,W,W,W,W,,,,,,,,,,,,
,,,2,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,N,N,N,N,N,N,N,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,,,,,,,,,,,,
オブジェクト,Code,,3,W,N,N,N,N,N,N,N,CBW,CBW,CBW,CBW,B,CBW,CBW,CBW,CBW,N,W,N,N,N,N,CBW,B,N,N,N,W,,,,,,,,,,,,
普通のブロック,N,,4,W,N,N,N,B,N,N,N,N,N,N,CBW,N,CBW,N,N,N,N,W,N,N,N,N,CBW,N,N,W,N,W,,,,,,,,,,,,
ボム,B,,5,W,N,N,N,N,N,N,W,N,N,N,CBW,WB,CBW,N,N,B,N,N,N,N,CBW,N,N,N,N,N,N,W,,,,,,,,,,,,
壁,W,,6,W,N,N,N,W,N,N,W,N,N,N,N,N,N,N,N,N,W,N,N,N,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,,,,,,,,,,,,
壁ボム,WB,,7,W,N,N,N,W,CBW,CBW,W,B,N,N,N,N,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,N,N,N,N,N,N,W,,,,,,,,,,,,
壁ボム-壁,CBW,,8,N,N,N,N,N,N,CBW,W,N,N,N,N,N,CBW,W,N,N,CBW,N,N,B,N,N,N,N,N,N,N,W,,,,,,,,,,,,
,,,9,N,N,N,N,N,N,CBW,CBW,WB,CBW,CBW,CBW,CBW,CBW,W,N,N,CBW,N,N,N,N,N,N,N,N,N,N,W,,,,,,,,,,,,
BPM,135,,10,CBW,CBW,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,CBW,CBW,CBW,CBW,CBW,CBW,WB,CBW,CBW,CBW,CBW,,,,,,,,,,,,
音の名前,stage1_bgm,,11,N,CBW,CBW,N,B,N,N,N,N,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,CBW,N,N,N,N,N,N,N,N,N,N,W,,,,,,,,,,,,
